ACTION QUERY 10000 10 human stampede
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'365725'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'365725'
ACTION MARK 10000 376 CONSIDERED_RELEVANT b'365725'
ACTION SNIPPET 10000 379 SNIPPET_RELEVANT b'1699122'
ACTION DOC 10000 399 EXAMINING_DOCUMENT b'1699122'
ACTION MARK 10000 402 CONSIDERED_RELEVANT b'1699122'
ACTION SNIPPET 10000 405 SNIPPET_RELEVANT b'1522020'
ACTION DOC 10000 425 EXAMINING_DOCUMENT b'1522020'
ACTION MARK 10000 428 CONSIDERED_RELEVANT b'1522020'
ACTION SNIPPET 10000 431 SNIPPET_RELEVANT b'100763'
ACTION DOC 10000 451 EXAMINING_DOCUMENT b'100763'
ACTION MARK 10000 454 CONSIDERED_RELEVANT b'100763'
ACTION SNIPPET 10000 457 SNIPPET_NOT_RELEVANT b'127053'
ACTION SNIPPET 10000 460 SNIPPET_NOT_RELEVANT b'1555757'
ACTION SNIPPET 10000 463 SNIPPET_RELEVANT b'808151'
ACTION DOC 10000 483 EXAMINING_DOCUMENT b'808151'
ACTION MARK 10000 486 CONSIDERED_RELEVANT b'808151'
ACTION SNIPPET 10000 489 SNIPPET_RELEVANT b'1467225'
ACTION DOC 10000 509 EXAMINING_DOCUMENT b'1467225'
ACTION MARK 10000 512 CONSIDERED_RELEVANT b'1467225'
ACTION SNIPPET 10000 515 SNIPPET_NOT_RELEVANT b'1393201'
ACTION SNIPPET 10000 518 SNIPPET_RELEVANT b'1783796'
ACTION DOC 10000 538 EXAMINING_DOCUMENT b'1783796'
ACTION MARK 10000 541 CONSIDERED_RELEVANT b'1783796'
ACTION SNIPPET 10000 544 SNIPPET_RELEVANT b'1076546'
ACTION DOC 10000 564 EXAMINING_DOCUMENT b'1076546'
ACTION MARK 10000 567 CONSIDERED_RELEVANT b'1076546'
ACTION SNIPPET 10000 570 SNIPPET_RELEVANT b'1738401'
ACTION DOC 10000 590 EXAMINING_DOCUMENT b'1738401'
ACTION MARK 10000 593 CONSIDERED_RELEVANT b'1738401'
ACTION SNIPPET 10000 596 SNIPPET_RELEVANT b'1573812'
ACTION DOC 10000 616 EXAMINING_DOCUMENT b'1573812'
ACTION MARK 10000 619 CONSIDERED_RELEVANT b'1573812'
ACTION SNIPPET 10000 622 SNIPPET_RELEVANT b'746477'
ACTION DOC 10000 642 EXAMINING_DOCUMENT b'746477'
ACTION MARK 10000 645 CONSIDERED_RELEVANT b'746477'
ACTION SNIPPET 10000 648 SNIPPET_RELEVANT b'731502'
ACTION DOC 10000 668 EXAMINING_DOCUMENT b'731502'
ACTION MARK 10000 671 CONSIDERED_RELEVANT b'731502'
ACTION SNIPPET 10000 674 SNIPPET_RELEVANT b'730671'
ACTION DOC 10000 694 EXAMINING_DOCUMENT b'730671'
ACTION MARK 10000 697 CONSIDERED_RELEVANT b'730671'
ACTION SNIPPET 10000 700 SNIPPET_NOT_RELEVANT b'729106'
ACTION SNIPPET 10000 703 SNIPPET_RELEVANT b'1698852'
ACTION DOC 10000 723 EXAMINING_DOCUMENT b'1698852'
ACTION MARK 10000 726 CONSIDERED_RELEVANT b'1698852'
ACTION SNIPPET 10000 729 SNIPPET_NOT_RELEVANT b'369520'
ACTION SNIPPET 10000 732 SNIPPET_RELEVANT b'174054'
ACTION DOC 10000 752 EXAMINING_DOCUMENT b'174054'
ACTION MARK 10000 755 CONSIDERED_RELEVANT b'174054'
ACTION SNIPPET 10000 758 SNIPPET_NOT_RELEVANT b'1698784'
ACTION SNIPPET 10000 761 SNIPPET_RELEVANT b'1511264'
ACTION DOC 10000 781 EXAMINING_DOCUMENT b'1511264'
ACTION SNIPPET 10000 784 SNIPPET_RELEVANT b'1475110'
ACTION DOC 10000 804 EXAMINING_DOCUMENT b'1475110'
ACTION MARK 10000 807 CONSIDERED_RELEVANT b'1475110'
ACTION SNIPPET 10000 810 SNIPPET_NOT_RELEVANT b'1627493'
ACTION SNIPPET 10000 813 SNIPPET_RELEVANT b'1004585'
ACTION DOC 10000 833 EXAMINING_DOCUMENT b'1004585'
ACTION MARK 10000 836 CONSIDERED_RELEVANT b'1004585'
ACTION SNIPPET 10000 839 SNIPPET_NOT_RELEVANT b'1285941'
ACTION SNIPPET 10000 842 SNIPPET_RELEVANT b'748718'
ACTION DOC 10000 862 EXAMINING_DOCUMENT b'748718'
ACTION MARK 10000 865 CONSIDERED_RELEVANT b'748718'
ACTION SNIPPET 10000 868 SNIPPET_NOT_RELEVANT b'122234'
ACTION SNIPPET 10000 871 SNIPPET_NOT_RELEVANT b'1450252'
ACTION SNIPPET 10000 874 SNIPPET_RELEVANT b'1293154'
ACTION DOC 10000 894 EXAMINING_DOCUMENT b'1293154'
ACTION MARK 10000 897 CONSIDERED_RELEVANT b'1293154'
ACTION SNIPPET 10000 900 SNIPPET_RELEVANT b'818047'
ACTION DOC 10000 920 EXAMINING_DOCUMENT b'818047'
ACTION SNIPPET 10000 923 SNIPPET_RELEVANT b'367335'
ACTION DOC 10000 943 EXAMINING_DOCUMENT b'367335'
ACTION MARK 10000 946 CONSIDERED_RELEVANT b'367335'
ACTION SNIPPET 10000 949 SNIPPET_NOT_RELEVANT b'1426186'
ACTION SNIPPET 10000 952 SNIPPET_RELEVANT b'501130'
ACTION DOC 10000 972 EXAMINING_DOCUMENT b'501130'
ACTION MARK 10000 975 CONSIDERED_RELEVANT b'501130'
ACTION SNIPPET 10000 978 SNIPPET_NOT_RELEVANT b'1466168'
ACTION SNIPPET 10000 981 SNIPPET_RELEVANT b'459087'
ACTION DOC 10000 1001 EXAMINING_DOCUMENT b'459087'
ACTION SNIPPET 10000 1004 SNIPPET_NOT_RELEVANT b'497598'
ACTION SNIPPET 10000 1007 SNIPPET_NOT_RELEVANT b'363729'
ACTION SNIPPET 10000 1010 SNIPPET_NOT_RELEVANT b'968875'
ACTION SNIPPET 10000 1013 SNIPPET_RELEVANT b'1061863'
ACTION DOC 10000 1033 EXAMINING_DOCUMENT b'1061863'
ACTION SNIPPET 10000 1036 SNIPPET_RELEVANT b'619444'
ACTION DOC 10000 1056 EXAMINING_DOCUMENT b'619444'
ACTION SNIPPET 10000 1059 SNIPPET_NOT_RELEVANT b'1238100'
ACTION SNIPPET 10000 1062 SNIPPET_NOT_RELEVANT b'88690'
ACTION SNIPPET 10000 1065 SNIPPET_NOT_RELEVANT b'1218036'
ACTION SNIPPET 10000 1068 SNIPPET_NOT_RELEVANT b'423877'
ACTION SNIPPET 10000 1071 SNIPPET_RELEVANT b'709907'
ACTION DOC 10000 1091 EXAMINING_DOCUMENT b'709907'
ACTION QUERY 10000 1101 What causes a human stampede?
ACTION SERP 10000 1106 EXAMINE_SERP
ACTION SNIPPET 10000 1109 SEEN_PREVIOUSLY b'127391'
ACTION SNIPPET 10000 1112 SEEN_PREVIOUSLY b'365725'
ACTION SNIPPET 10000 1115 SEEN_PREVIOUSLY b'808151'
ACTION SNIPPET 10000 1118 SEEN_PREVIOUSLY b'1515218'
ACTION SNIPPET 10000 1121 SEEN_PREVIOUSLY b'1753507'
ACTION SNIPPET 10000 1124 SEEN_PREVIOUSLY b'1522020'
ACTION SNIPPET 10000 1127 SNIPPET_RELEVANT b'1556632'
ACTION DOC 10000 1147 EXAMINING_DOCUMENT b'1556632'
ACTION MARK 10000 1150 CONSIDERED_RELEVANT b'1556632'
ACTION SNIPPET 10000 1153 SEEN_PREVIOUSLY b'497129'
ACTION SNIPPET 10000 1156 SEEN_PREVIOUSLY b'278899'
ACTION SNIPPET 10000 1159 SEEN_PREVIOUSLY b'1789645'
ACTION SNIPPET 10000 1162 SEEN_PREVIOUSLY b'1698889'
ACTION SNIPPET 10000 1165 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 1168 SNIPPET_RELEVANT b'204418'
ACTION DOC 10000 1188 EXAMINING_DOCUMENT b'204418'
ACTION MARK 10000 1191 CONSIDERED_RELEVANT b'204418'
ACTION SNIPPET 10000 1194 SEEN_PREVIOUSLY b'365604'
ACTION SNIPPET 10000 1197 SNIPPET_RELEVANT b'868795'
ACTION DOC 10000 1217 EXAMINING_DOCUMENT b'868795'
ACTION MARK 10000 1220 CONSIDERED_RELEVANT b'868795'
ACTION SNIPPET 10000 1223 SEEN_PREVIOUSLY b'1467225'
ACTION SNIPPET 10000 1226 SEEN_PREVIOUSLY b'497389'
ACTION SNIPPET 10000 1229 SEEN_PREVIOUSLY b'1465986'
ACTION SNIPPET 10000 1232 SEEN_PREVIOUSLY b'1699122'
ACTION SNIPPET 10000 1235 SEEN_PREVIOUSLY b'1076546'
ACTION SNIPPET 10000 1238 SEEN_PREVIOUSLY b'746477'
ACTION SNIPPET 10000 1241 SEEN_PREVIOUSLY b'79150'
ACTION SNIPPET 10000 1244 SEEN_PREVIOUSLY b'100763'
ACTION SNIPPET 10000 1247 SNIPPET_NOT_RELEVANT b'127053'
ACTION SNIPPET 10000 1250 SNIPPET_RELEVANT b'864935'
ACTION DOC 10000 1270 EXAMINING_DOCUMENT b'864935'
ACTION MARK 10000 1273 CONSIDERED_RELEVANT b'864935'
ACTION SNIPPET 10000 1276 SEEN_PREVIOUSLY b'367335'
ACTION SNIPPET 10000 1279 SNIPPET_NOT_RELEVANT b'244381'
ACTION SNIPPET 10000 1282 SEEN_PREVIOUSLY b'1475110'
ACTION SNIPPET 10000 1285 SNIPPET_NOT_RELEVANT b'1467518'
ACTION SNIPPET 10000 1288 SNIPPET_RELEVANT b'729106'
ACTION DOC 10000 1308 EXAMINING_DOCUMENT b'729106'
ACTION MARK 10000 1311 CONSIDERED_RELEVANT b'729106'
ACTION SNIPPET 10000 1314 SNIPPET_NOT_RELEVANT b'568876'
ACTION SNIPPET 10000 1317 SNIPPET_NOT_RELEVANT b'1555757'
ACTION SNIPPET 10000 1320 SNIPPET_RELEVANT b'1467690'
ACTION DOC 10000 1340 EXAMINING_DOCUMENT b'1467690'
ACTION MARK 10000 1343 CONSIDERED_RELEVANT b'1467690'
ACTION SNIPPET 10000 1346 SNIPPET_RELEVANT b'1638713'
ACTION DOC 10000 1366 EXAMINING_DOCUMENT b'1638713'
ACTION MARK 10000 1369 CONSIDERED_RELEVANT b'1638713'
ACTION SNIPPET 10000 1372 SEEN_PREVIOUSLY b'1738401'
ACTION SNIPPET 10000 1375 SEEN_PREVIOUSLY b'1698852'
ACTION SNIPPET 10000 1378 SNIPPET_NOT_RELEVANT b'369520'
ACTION SNIPPET 10000 1381 SEEN_PREVIOUSLY b'459087'
ACTION SNIPPET 10000 1384 SNIPPET_RELEVANT b'368880'
ACTION DOC 10000 1404 EXAMINING_DOCUMENT b'368880'
ACTION SNIPPET 10000 1407 SNIPPET_RELEVANT b'673752'
ACTION DOC 10000 1427 EXAMINING_DOCUMENT b'673752'
ACTION SNIPPET 10000 1430 SNIPPET_RELEVANT b'494631'
ACTION DOC 10000 1450 EXAMINING_DOCUMENT b'494631'
ACTION SNIPPET 10000 1453 SNIPPET_RELEVANT b'1699542'
ACTION DOC 10000 1473 EXAMINING_DOCUMENT b'1699542'
ACTION MARK 10000 1476 CONSIDERED_RELEVANT b'1699542'
ACTION SNIPPET 10000 1479 SNIPPET_RELEVANT b'1292328'
ACTION DOC 10000 1499 EXAMINING_DOCUMENT b'1292328'
ACTION MARK 10000 1502 CONSIDERED_RELEVANT b'1292328'
ACTION SNIPPET 10000 1505 SEEN_PREVIOUSLY b'748718'
ACTION SNIPPET 10000 1508 SNIPPET_NOT_RELEVANT b'1466168'
ACTION SNIPPET 10000 1511 SEEN_PREVIOUSLY b'731502'
ACTION SNIPPET 10000 1514 SEEN_PREVIOUSLY b'174054'
ACTION SNIPPET 10000 1517 SEEN_PREVIOUSLY b'1511264'
ACTION SNIPPET 10000 1520 SNIPPET_RELEVANT b'1199011'
ACTION DOC 10000 1540 EXAMINING_DOCUMENT b'1199011'
ACTION SNIPPET 10000 1543 SEEN_PREVIOUSLY b'1061863'
ACTION SNIPPET 10000 1546 SNIPPET_RELEVANT b'1285941'
ACTION DOC 10000 1566 EXAMINING_DOCUMENT b'1285941'
ACTION MARK 10000 1569 CONSIDERED_RELEVANT b'1285941'
ACTION SNIPPET 10000 1572 SNIPPET_RELEVANT b'1426186'
ACTION DOC 10000 1592 EXAMINING_DOCUMENT b'1426186'
ACTION SNIPPET 10000 1595 SNIPPET_NOT_RELEVANT b'1546904'
ACTION SNIPPET 10000 1598 SEEN_PREVIOUSLY b'1004585'
ACTION SNIPPET 10000 1601 SNIPPET_NOT_RELEVANT b'1450252'
ACTION SNIPPET 10000 1604 SNIPPET_RELEVANT b'856210'
ACTION DOC 10000 1624 EXAMINING_DOCUMENT b'856210'
ACTION SNIPPET 10000 1627 SEEN_PREVIOUSLY b'1293154'
ACTION SNIPPET 10000 1630 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 1633 SNIPPET_NOT_RELEVANT b'1627493'
ACTION SNIPPET 10000 1636 SNIPPET_RELEVANT b'1042170'
ACTION DOC 10000 1656 EXAMINING_DOCUMENT b'1042170'
ACTION SNIPPET 10000 1659 SNIPPET_RELEVANT b'363729'
ACTION DOC 10000 1679 EXAMINING_DOCUMENT b'363729'
ACTION QUERY 10000 1689 Prevention of human stampedes
ACTION SERP 10000 1694 EXAMINE_SERP
ACTION SNIPPET 10000 1697 SNIPPET_RELEVANT b'1731810'
ACTION DOC 10000 1717 EXAMINING_DOCUMENT b'1731810'
ACTION MARK 10000 1720 CONSIDERED_RELEVANT b'1731810'
ACTION SNIPPET 10000 1723 SEEN_PREVIOUSLY b'1475110'
ACTION SNIPPET 10000 1726 SEEN_PREVIOUSLY b'365604'
ACTION SNIPPET 10000 1729 SEEN_PREVIOUSLY b'1789645'
ACTION SNIPPET 10000 1732 SEEN_PREVIOUSLY b'127391'
ACTION SNIPPET 10000 1735 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 1738 SEEN_PREVIOUSLY b'868795'
ACTION SNIPPET 10000 1741 SEEN_PREVIOUSLY b'1753507'
ACTION SNIPPET 10000 1744 SEEN_PREVIOUSLY b'365725'
ACTION SNIPPET 10000 1747 SEEN_PREVIOUSLY b'1699122'
ACTION SNIPPET 10000 1750 SEEN_PREVIOUSLY b'1515218'
ACTION SNIPPET 10000 1753 SEEN_PREVIOUSLY b'808151'
ACTION SNIPPET 10000 1756 SEEN_PREVIOUSLY b'1465986'
ACTION SNIPPET 10000 1759 SEEN_PREVIOUSLY b'1698889'
ACTION SNIPPET 10000 1762 SNIPPET_RELEVANT b'1467232'
ACTION DOC 10000 1782 EXAMINING_DOCUMENT b'1467232'
ACTION MARK 10000 1785 CONSIDERED_RELEVANT b'1467232'
ACTION SNIPPET 10000 1788 SEEN_PREVIOUSLY b'278899'
ACTION SNIPPET 10000 1791 SEEN_PREVIOUSLY b'497129'
ACTION SNIPPET 10000 1794 SNIPPET_RELEVANT b'1467342'
ACTION DOC 10000 1814 EXAMINING_DOCUMENT b'1467342'
ACTION MARK 10000 1817 CONSIDERED_RELEVANT b'1467342'
ACTION SNIPPET 10000 1820 SEEN_PREVIOUSLY b'79150'
ACTION SNIPPET 10000 1823 SEEN_PREVIOUSLY b'1522020'
ACTION SNIPPET 10000 1826 SNIPPET_NOT_RELEVANT b'931635'
ACTION SNIPPET 10000 1829 SEEN_PREVIOUSLY b'746477'
ACTION SNIPPET 10000 1832 SEEN_PREVIOUSLY b'1467225'
ACTION SNIPPET 10000 1835 SNIPPET_RELEVANT b'127053'
ACTION DOC 10000 1855 EXAMINING_DOCUMENT b'127053'
ACTION MARK 10000 1858 CONSIDERED_RELEVANT b'127053'
ACTION SNIPPET 10000 1861 SEEN_PREVIOUSLY b'100763'
ACTION SNIPPET 10000 1864 SNIPPET_NOT_RELEVANT b'568876'
ACTION SNIPPET 10000 1867 SNIPPET_NOT_RELEVANT b'497300'
ACTION SNIPPET 10000 1870 SEEN_PREVIOUSLY b'1511264'
ACTION SNIPPET 10000 1873 SEEN_PREVIOUSLY b'729106'
ACTION SNIPPET 10000 1876 SEEN_PREVIOUSLY b'174054'
ACTION SNIPPET 10000 1879 SEEN_PREVIOUSLY b'1292328'
ACTION SNIPPET 10000 1882 SNIPPET_RELEVANT b'369520'
ACTION DOC 10000 1902 EXAMINING_DOCUMENT b'369520'
ACTION MARK 10000 1905 CONSIDERED_RELEVANT b'369520'
ACTION SNIPPET 10000 1908 SNIPPET_RELEVANT b'1466129'
ACTION DOC 10000 1928 EXAMINING_DOCUMENT b'1466129'
ACTION MARK 10000 1931 CONSIDERED_RELEVANT b'1466129'
ACTION SNIPPET 10000 1934 SNIPPET_RELEVANT b'1555757'
ACTION DOC 10000 1954 EXAMINING_DOCUMENT b'1555757'
ACTION SNIPPET 10000 1957 SEEN_PREVIOUSLY b'731502'
ACTION SNIPPET 10000 1960 SEEN_PREVIOUSLY b'1698852'
ACTION SNIPPET 10000 1963 SEEN_PREVIOUSLY b'1061863'
ACTION SNIPPET 10000 1966 SNIPPET_RELEVANT b'1127188'
ACTION DOC 10000 1986 EXAMINING_DOCUMENT b'1127188'
ACTION SNIPPET 10000 1989 SEEN_PREVIOUSLY b'1738401'
ACTION SNIPPET 10000 1992 SEEN_PREVIOUSLY b'1004585'
ACTION SNIPPET 10000 1995 SEEN_PREVIOUSLY b'363729'
ACTION SNIPPET 10000 1998 SEEN_PREVIOUSLY b'459087'
ACTION SNIPPET 10000 2001 SEEN_PREVIOUSLY b'1199011'
ACTION SNIPPET 10000 2004 SNIPPET_RELEVANT b'1698784'
ACTION DOC 10000 2024 EXAMINING_DOCUMENT b'1698784'
ACTION MARK 10000 2027 CONSIDERED_RELEVANT b'1698784'
ACTION SNIPPET 10000 2030 SEEN_PREVIOUSLY b'748718'
ACTION SNIPPET 10000 2033 SNIPPET_RELEVANT b'497598'
ACTION DOC 10000 2053 EXAMINING_DOCUMENT b'497598'
ACTION SNIPPET 10000 2056 SNIPPET_NOT_RELEVANT b'121675'
ACTION SNIPPET 10000 2059 SNIPPET_NOT_RELEVANT b'88690'
ACTION SNIPPET 10000 2062 SEEN_PREVIOUSLY b'1426186'
ACTION SNIPPET 10000 2065 SEEN_PREVIOUSLY b'1285941'
ACTION SNIPPET 10000 2068 SNIPPET_NOT_RELEVANT b'1019081'
ACTION SNIPPET 10000 2071 SNIPPET_NOT_RELEVANT b'122234'
ACTION SNIPPET 10000 2074 SNIPPET_RELEVANT b'1393201'
ACTION DOC 10000 2094 EXAMINING_DOCUMENT b'1393201'
ACTION SNIPPET 10000 2097 SNIPPET_NOT_RELEVANT b'1627493'
ACTION SNIPPET 10000 2100 SEEN_PREVIOUSLY b'1293154'
ACTION SNIPPET 10000 2103 SNIPPET_RELEVANT b'1731636'
ACTION DOC 10000 2123 EXAMINING_DOCUMENT b'1731636'
ACTION MARK 10000 2126 CONSIDERED_RELEVANT b'1731636'
ACTION SNIPPET 10000 2129 SNIPPET_RELEVANT b'1315862'
ACTION DOC 10000 2149 EXAMINING_DOCUMENT b'1315862'
ACTION MARK 10000 2152 CONSIDERED_RELEVANT b'1315862'
ACTION SNIPPET 10000 2155 SNIPPET_NOT_RELEVANT b'1345536'
ACTION SNIPPET 10000 2158 SNIPPET_RELEVANT b'681253'
ACTION DOC 10000 2178 EXAMINING_DOCUMENT b'681253'
ACTION MARK 10000 2181 CONSIDERED_RELEVANT b'681253'
ACTION SNIPPET 10000 2184 SNIPPET_NOT_RELEVANT b'1737053'
ACTION SNIPPET 10000 2187 SNIPPET_NOT_RELEVANT b'499916'
ACTION SNIPPET 10000 2190 SNIPPET_RELEVANT b'1644967'
ACTION DOC 10000 2210 EXAMINING_DOCUMENT b'1644967'
ACTION MARK 10000 2213 CONSIDERED_RELEVANT b'1644967'
ACTION SNIPPET 10000 2216 SNIPPET_RELEVANT b'580202'
ACTION DOC 10000 2236 EXAMINING_DOCUMENT b'580202'
ACTION MARK 10000 2239 CONSIDERED_RELEVANT b'580202'
ACTION SNIPPET 10000 2242 SNIPPET_RELEVANT b'498021'
ACTION DOC 10000 2262 EXAMINING_DOCUMENT b'498021'
ACTION SNIPPET 10000 2265 SNIPPET_NOT_RELEVANT b'1421611'
ACTION SNIPPET 10000 2268 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 2271 SNIPPET_RELEVANT b'423877'
ACTION DOC 10000 2291 EXAMINING_DOCUMENT b'423877'
ACTION SNIPPET 10000 2294 SNIPPET_NOT_RELEVANT b'1466168'
ACTION SNIPPET 10000 2297 SNIPPET_RELEVANT b'1547011'
ACTION DOC 10000 2317 EXAMINING_DOCUMENT b'1547011'
ACTION SNIPPET 10000 2320 SNIPPET_NOT_RELEVANT b'214143'
ACTION SNIPPET 10000 2323 SNIPPET_NOT_RELEVANT b'1315825'
ACTION SNIPPET 10000 2326 SNIPPET_RELEVANT b'50965'
ACTION DOC 10000 2346 EXAMINING_DOCUMENT b'50965'
ACTION SNIPPET 10000 2349 SNIPPET_NOT_RELEVANT b'1058177'
ACTION QUERY 10000 2359 How to survive a human stampede?
ACTION SERP 10000 2364 EXAMINE_SERP
ACTION SNIPPET 10000 2367 SEEN_PREVIOUSLY b'1475110'
ACTION SNIPPET 10000 2370 SEEN_PREVIOUSLY b'1465986'
ACTION SNIPPET 10000 2373 SEEN_PREVIOUSLY b'1698889'
ACTION SNIPPET 10000 2376 SEEN_PREVIOUSLY b'1753507'
ACTION SNIPPET 10000 2379 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 2382 SEEN_PREVIOUSLY b'1789645'
ACTION SNIPPET 10000 2385 SEEN_PREVIOUSLY b'1515218'
ACTION SNIPPET 10000 2388 SEEN_PREVIOUSLY b'365604'
ACTION SNIPPET 10000 2391 SEEN_PREVIOUSLY b'729106'
ACTION SNIPPET 10000 2394 SEEN_PREVIOUSLY b'497389'
ACTION SNIPPET 10000 2397 SEEN_PREVIOUSLY b'127391'
ACTION SNIPPET 10000 2400 SNIPPET_RELEVANT b'1477242'
ACTION DOC 10000 2420 EXAMINING_DOCUMENT b'1477242'
ACTION MARK 10000 2423 CONSIDERED_RELEVANT b'1477242'
ACTION SNIPPET 10000 2426 SEEN_PREVIOUSLY b'278899'
ACTION SNIPPET 10000 2429 SEEN_PREVIOUSLY b'365725'
ACTION SNIPPET 10000 2432 SEEN_PREVIOUSLY b'497129'
ACTION SNIPPET 10000 2435 SEEN_PREVIOUSLY b'1522020'
ACTION SNIPPET 10000 2438 SEEN_PREVIOUSLY b'1511264'
ACTION SNIPPET 10000 2441 SEEN_PREVIOUSLY b'1699122'
ACTION SNIPPET 10000 2444 SNIPPET_RELEVANT b'1183597'
ACTION DOC 10000 2464 EXAMINING_DOCUMENT b'1183597'
ACTION SNIPPET 10000 2467 SEEN_PREVIOUSLY b'808151'
ACTION SNIPPET 10000 2470 SEEN_PREVIOUSLY b'127053'
ACTION SNIPPET 10000 2473 SEEN_PREVIOUSLY b'1698784'
ACTION SNIPPET 10000 2476 SEEN_PREVIOUSLY b'1783796'
ACTION SNIPPET 10000 2479 SEEN_PREVIOUSLY b'79150'
ACTION SNIPPET 10000 2482 SEEN_PREVIOUSLY b'100763'
ACTION SNIPPET 10000 2485 SEEN_PREVIOUSLY b'1573812'
ACTION SNIPPET 10000 2488 SEEN_PREVIOUSLY b'1467225'
ACTION SNIPPET 10000 2491 SEEN_PREVIOUSLY b'174054'
ACTION SNIPPET 10000 2494 SNIPPET_NOT_RELEVANT b'809697'
ACTION SNIPPET 10000 2497 SEEN_PREVIOUSLY b'746477'
ACTION SNIPPET 10000 2500 SEEN_PREVIOUSLY b'1555757'
ACTION SNIPPET 10000 2503 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 2506 SEEN_PREVIOUSLY b'1004585'
ACTION SNIPPET 10000 2509 SNIPPET_NOT_RELEVANT b'1467518'
ACTION SNIPPET 10000 2512 SEEN_PREVIOUSLY b'731502'
ACTION SNIPPET 10000 2515 SEEN_PREVIOUSLY b'1698852'
ACTION SNIPPET 10000 2518 SEEN_PREVIOUSLY b'1061863'
ACTION SNIPPET 10000 2521 SEEN_PREVIOUSLY b'1393201'
ACTION SNIPPET 10000 2524 SEEN_PREVIOUSLY b'1738401'
ACTION SNIPPET 10000 2527 SEEN_PREVIOUSLY b'1076546'
ACTION SNIPPET 10000 2530 SNIPPET_RELEVANT b'1627493'
ACTION DOC 10000 2550 EXAMINING_DOCUMENT b'1627493'
ACTION QUERY 10000 2560 Deadliest human stampedes
ACTION SERP 10000 2565 EXAMINE_SERP
ACTION SNIPPET 10000 2568 SEEN_PREVIOUSLY b'1731589'
ACTION SNIPPET 10000 2571 SEEN_PREVIOUSLY b'1698889'
ACTION SNIPPET 10000 2574 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 2577 SEEN_PREVIOUSLY b'365604'
ACTION SNIPPET 10000 2580 SEEN_PREVIOUSLY b'1789645'
ACTION SNIPPET 10000 2583 SEEN_PREVIOUSLY b'1467690'
ACTION SNIPPET 10000 2586 SEEN_PREVIOUSLY b'1753507'
