ACTION QUERY 10000 10 home schooling
ACTION SNIPPET 10000 684 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 687 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 690 SNIPPET_RELEVANT b'579846'
ACTION DOC 10000 710 EXAMINING_DOCUMENT b'579846'
ACTION MARK 10000 713 CONSIDERED_RELEVANT b'579846'
ACTION SNIPPET 10000 716 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 719 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 722 SEEN_PREVIOUSLY b'1764140'
ACTION SNIPPET 10000 725 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 728 SNIPPET_RELEVANT b'1746475'
ACTION DOC 10000 748 EXAMINING_DOCUMENT b'1746475'
ACTION QUERY 10000 758 Homeschooling resources
ACTION SERP 10000 763 EXAMINE_SERP
ACTION SNIPPET 10000 766 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 769 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 772 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 775 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 778 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 781 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 784 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 787 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 790 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 793 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 803 Homeschooling online
ACTION SERP 10000 808 EXAMINE_SERP
ACTION SNIPPET 10000 811 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 814 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 817 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 820 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 823 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 826 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 829 SEEN_PREVIOUSLY b'1764140'
ACTION SNIPPET 10000 832 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 835 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 838 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 848 Homeschooling laws
ACTION SERP 10000 853 EXAMINE_SERP
ACTION SNIPPET 10000 856 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 859 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 862 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 865 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 868 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 871 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 874 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 877 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 880 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 883 SEEN_PREVIOUSLY b'579846'
ACTION QUERY 10000 893 Homeschooling programs
ACTION SERP 10000 898 EXAMINE_SERP
ACTION SNIPPET 10000 901 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 904 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 907 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 910 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 913 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 916 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 919 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 922 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 925 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 928 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 938 Homeschooling for beginners
ACTION SERP 10000 943 EXAMINE_SERP
ACTION SNIPPET 10000 946 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 949 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 952 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 955 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 958 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 961 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 964 SNIPPET_NOT_RELEVANT b'325206'
ACTION SNIPPET 10000 967 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 970 SNIPPET_RELEVANT b'1495031'
ACTION DOC 10000 990 EXAMINING_DOCUMENT b'1495031'
ACTION SNIPPET 10000 993 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 1003 Homeschooling for preschoolers
ACTION SERP 10000 1008 EXAMINE_SERP
ACTION SNIPPET 10000 1011 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1014 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1017 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1020 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1023 SNIPPET_NOT_RELEVANT b'1848631'
ACTION SNIPPET 10000 1026 SNIPPET_RELEVANT b'1848634'
ACTION DOC 10000 1046 EXAMINING_DOCUMENT b'1848634'
ACTION MARK 10000 1049 CONSIDERED_RELEVANT b'1848634'
ACTION SNIPPET 10000 1052 SNIPPET_NOT_RELEVANT b'1848672'
ACTION SNIPPET 10000 1055 SNIPPET_RELEVANT b'1848632'
ACTION DOC 10000 1075 EXAMINING_DOCUMENT b'1848632'
ACTION MARK 10000 1078 CONSIDERED_RELEVANT b'1848632'
ACTION SNIPPET 10000 1081 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1084 SEEN_PREVIOUSLY b'1283837'
ACTION QUERY 10000 1094 Homeschooling high school
ACTION SERP 10000 1099 EXAMINE_SERP
ACTION SNIPPET 10000 1102 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1105 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1108 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1111 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1114 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1117 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1120 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1123 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1126 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 1129 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 1139 Homeschooling vs public school
ACTION SERP 10000 1144 EXAMINE_SERP
ACTION SNIPPET 10000 1147 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1150 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1153 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1156 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1159 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1162 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1165 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1168 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 1171 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1174 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 1184 Homeschooling in America
ACTION SERP 10000 1189 EXAMINE_SERP
ACTION SNIPPET 10000 1192 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1195 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1198 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1201 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1204 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1207 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1210 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1213 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1216 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 1219 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 1229 Homeschooling for gifted kids
ACTION SERP 10000 1234 EXAMINE_SERP
ACTION SNIPPET 10000 1237 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1240 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1243 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1246 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1249 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1252 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1255 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1258 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 1261 SNIPPET_NOT_RELEVANT b'1371957'
ACTION SNIPPET 10000 1264 SEEN_PREVIOUSLY b'1283841'
ACTION QUERY 10000 1274 Homeschool socialization
ACTION SERP 10000 1279 EXAMINE_SERP
ACTION SNIPPET 10000 1282 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1285 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1288 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1291 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1294 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1297 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1300 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 1303 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 1306 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1309 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 1319 Homeschooling materials
ACTION SERP 10000 1324 EXAMINE_SERP
ACTION SNIPPET 10000 1327 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1330 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1333 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1336 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1339 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1342 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1345 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1348 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1351 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 1354 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 1364 Homeschooling blogs
ACTION SERP 10000 1369 EXAMINE_SERP
ACTION SNIPPET 10000 1372 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1375 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1378 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1381 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1384 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1387 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1390 SNIPPET_RELEVANT b'1616135'
ACTION DOC 10000 1410 EXAMINING_DOCUMENT b'1616135'
ACTION SNIPPET 10000 1413 SNIPPET_RELEVANT b'1584808'
ACTION DOC 10000 1433 EXAMINING_DOCUMENT b'1584808'
ACTION SNIPPET 10000 1436 SNIPPET_NOT_RELEVANT b'1744638'
ACTION SNIPPET 10000 1439 SNIPPET_NOT_RELEVANT b'1654539'
ACTION QUERY 10000 1449 Homeschooling for free
ACTION SERP 10000 1454 EXAMINE_SERP
ACTION SNIPPET 10000 1457 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1460 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1463 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1466 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1469 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1472 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1475 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1478 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1481 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 1484 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 1494 Homeschool schedules
ACTION SERP 10000 1499 EXAMINE_SERP
ACTION SNIPPET 10000 1502 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1505 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1508 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1511 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1514 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1517 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1520 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1523 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1526 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1529 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 1539 Homeschooling in California
ACTION SERP 10000 1544 EXAMINE_SERP
ACTION SNIPPET 10000 1547 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1550 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1553 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1556 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1559 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1562 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1565 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1568 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1571 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1574 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 1584 Homeschooling in Texas
ACTION SERP 10000 1589 EXAMINE_SERP
ACTION SNIPPET 10000 1592 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1595 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1598 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1601 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1604 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1607 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1610 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1613 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1616 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1619 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 1629 Homeschooling statistics
ACTION SERP 10000 1634 EXAMINE_SERP
ACTION SNIPPET 10000 1637 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1640 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1643 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1646 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1649 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1652 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1655 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1658 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1661 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 1664 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 1674 Homeschooling and working from home
ACTION SERP 10000 1679 EXAMINE_SERP
ACTION SNIPPET 10000 1682 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1685 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1688 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1691 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1694 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1697 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1700 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1703 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 1706 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 1709 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 1719 Homeschooling and learning disabilities
ACTION SERP 10000 1724 EXAMINE_SERP
ACTION SNIPPET 10000 1727 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1730 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1733 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1736 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1739 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1742 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1745 SNIPPET_NOT_RELEVANT b'407040'
ACTION SNIPPET 10000 1748 SNIPPET_RELEVANT b'831263'
ACTION DOC 10000 1768 EXAMINING_DOCUMENT b'831263'
ACTION SNIPPET 10000 1771 SNIPPET_NOT_RELEVANT b'829743'
ACTION SNIPPET 10000 1774 SNIPPET_NOT_RELEVANT b'674968'
ACTION QUERY 10000 1784 Homeschooling virtual field trips
ACTION SERP 10000 1789 EXAMINE_SERP
ACTION SNIPPET 10000 1792 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1795 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1798 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1801 SNIPPET_NOT_RELEVANT b'1835467'
ACTION SNIPPET 10000 1804 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1807 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1810 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1813 SNIPPET_RELEVANT b'416269'
ACTION DOC 10000 1833 EXAMINING_DOCUMENT b'416269'
ACTION SNIPPET 10000 1836 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1839 SEEN_PREVIOUSLY b'905058'
ACTION QUERY 10000 1849 Homeschooling co-ops
ACTION SERP 10000 1854 EXAMINE_SERP
ACTION SNIPPET 10000 1857 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1860 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1863 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1866 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1869 SNIPPET_RELEVANT b'1292983'
ACTION DOC 10000 1889 EXAMINING_DOCUMENT b'1292983'
ACTION SNIPPET 10000 1892 SNIPPET_NOT_RELEVANT b'389948'
ACTION SNIPPET 10000 1895 SNIPPET_RELEVANT b'725235'
ACTION DOC 10000 1915 EXAMINING_DOCUMENT b'725235'
ACTION SNIPPET 10000 1918 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1921 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1924 SNIPPET_NOT_RELEVANT b'28987'
ACTION QUERY 10000 1934 Homeschooling record keeping
ACTION SERP 10000 1939 EXAMINE_SERP
ACTION SNIPPET 10000 1942 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1945 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1948 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1951 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1954 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 1957 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 1960 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 1963 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 1966 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 1969 SEEN_PREVIOUSLY b'579846'
ACTION QUERY 10000 1979 Homeschooling in multiple languages
ACTION SERP 10000 1984 EXAMINE_SERP
ACTION SNIPPET 10000 1987 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 1990 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 1993 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 1996 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 1999 SEEN_PREVIOUSLY b'1283841'
